ID,City,District,Neighborhood,Condition,Type,Rooms,Area_m2,Lift,Views,Floor_number,Price,Latitude,Longitude
163,Barcelona,Nou Barris,Les Roquetes,Good Condition,Flat,3,105,No,Exterior,Floor 1,240000,41.448,2.172
164,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,4,154,Yes,Exterior,Floor 3,590000,41.3948,2.1693
165,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,2,65,Yes,Interior,Floor 4,290000,41.4063,2.165
166,Barcelona,Horta-Guinardó,El Baix Guinardó,Good Condition,Flat,3,122,Yes,Exterior,Floor 3,450000,41.41144,2.16865
167,Barcelona,Nou Barris,La Prosperitat,Good Condition,Penthouse,2,60,Yes,Exterior,Floor 4,254900,41.4425,2.1819
168,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,4,87,Yes,Exterior,Floor 4,354000,41.4037,2.1735
169,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Flat,3,116,Yes,Exterior,Mezzanine,845000,41.3978,2.1353
170,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,240,Yes,Exterior,Floor 6,960000,41.3913,2.1397
171,Barcelona,Les Corts,Les Corts,Good Condition,Flat,4,96,Yes,Exterior,Floor 4,385000,41.384,2.134
172,Barcelona,Horta-Guinardó,El Guinardó,Good Condition,Flat,3,88,Yes,Exterior,Floor 1,340000,41.4195,2.1686
173,Barcelona,Sant Martí,El Clot,Good Condition,Penthouse,3,114,Yes,Exterior,Floor 5,465000,41.40995,2.19082
174,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,152,Yes,Exterior,Floor 4,750000,41.3913,2.1397
175,Barcelona,Sant Martí,Provençals Del Poblenou,Good Condition,Duplex,2,107,Yes,Exterior,Ground Floor,698000,41.4078,2.204
176,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,3,148,Yes,Exterior,Floor 2,1300000,41.3986,2.1253
177,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,3,140,Yes,Exterior,Floor 8,635000,41.3788,2.1629
178,Barcelona,Nou Barris,Vilapicina I La Torre Llobeta,Good Condition,Penthouse,2,42,Yes,Exterior,Floor 6,192100,41.4286,2.1741
179,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,180,Yes,Exterior,Floor 1,1095000,41.3913,2.1397
180,Barcelona,Horta-Guinardó,El Baix Guinardó,Good Condition,Flat,3,87,Yes,Exterior,Floor 5,625000,41.41144,2.16865
181,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,4,139,Yes,Exterior,Floor 3,1100000,41.3986,2.1253
182,Barcelona,Sarrià-Sant Gervasi,Les Tres Torres,Good Condition,Penthouse,4,365,Yes,Exterior,Floor 5,2150000,41.394,2.13
183,Barcelona,Gràcia,Vallcarca I Els Penitents,Good Condition,Penthouse,2,80,Yes,Exterior,Floor 4,429000,41.407,2.141
184,Barcelona,Sant Martí,El Poblenou,Good Condition,Penthouse,2,93,No,Exterior,Floor 2,455000,41.4036,2.1996
185,Barcelona,Nou Barris,Vilapicina I La Torre Llobeta,Good Condition,Penthouse,3,125,Yes,Exterior,Floor 5,460000,41.4286,2.1741
186,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Penthouse,5,155,Yes,Exterior,Floor 9,890000,41.3835,2.1487
187,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,3,134,Yes,Exterior,Floor 1,790000,41.38339,2.17691
188,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,2,112,Yes,Exterior,Mezzanine,550000,41.3835,2.1487
189,Barcelona,Les Corts,Les Corts,Good Condition,Flat,4,95,Yes,Exterior,Floor 8,560000,41.384,2.134
190,Barcelona,Sant Andreu,Sant Andreu,Good Condition,Terraced,3,75,No,Exterior,Multiple,298000,41.4354,2.1898
191,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,1,52,Yes,Exterior,Floor 5,370000,41.386,2.157
192,Barcelona,Les Corts,Les Corts,Good Condition,Flat,2,105,Yes,Exterior,Ground Floor,573000,41.384,2.134
193,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,76,Yes,Exterior,Floor 3,339500,41.384,2.134
194,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Flat,4,101,Yes,Interior,Floor 3,437500,41.3782,2.1211
